ANNO;TRIMESTRE;MES_DEL_TRIMESTRE;ID_EMPRESA;EMPRESA;INGRESOS_TOTALES;INGRESOS_POSPAGO;INGRESOS_PREPAGO;CONSUMO_PREPAGO_ON;CONSUMO_PREPAGO_OFF
2012;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;451526207000;237029055000;214497152000;0;0
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;167356067470;138616553060;28739514420;0;0
2012;1;1;900367669;UFF MOVIL SAS;1120787439;0;1120787439;0;0
2012;1;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;149094870;0;149094870;0;0
2012;1;2;830016046;AVANTEL S.A.S;7769066000;7454565000;314501000;0;0
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;53751482300;27694147470;26057334830;0;0
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;429389641000;232932417000;196457224000;0;0
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;164471769650;137635035880;26836733770;0;0
2012;1;2;900367669;UFF MOVIL SAS;1011891626;0;1011891626;0;0
2012;1;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;10974270;0;10974270;0;0
2012;1;3;830016046;AVANTEL S.A.S;7806179000;7484213000;321966000;0;0
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;54464012430;26842275970;27621736460;0;0
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;437650209000;234208442000;203441767000;0;0
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;168154044950;139789627510;28364417440;0;0
2012;1;3;900367669;UFF MOVIL SAS;1150638293;0;1150638293;0;0
2012;1;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;57117360;0;57117360;0;0
2012;2;1;830016046;AVANTEL S.A.S;7843859000;7546066000;297793000;0;0
2012;2;1;830114921;COLOMBIA MOVIL  S.A ESP;53333760060;27719363340;25614396710;0;0
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;428784993000;234278974000;194506019000;0;0
2012;2;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;0;0;0;0;0
2012;2;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;162957973000;137118513000;25839460000;0;0
2012;2;1;900367669;UFF MOVIL SAS;1034003899;0;1034003899;0;0
2012;2;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;64409580;0;64409580;0;0
2012;2;2;830016046;AVANTEL S.A.S;7930777000;7608767000;322010000;0;0
2012;2;2;830114921;COLOMBIA MOVIL  S.A ESP;57845520550;30535392110;27310128430;0;0
2012;2;2;800153993;COMUNICACION CELULAR S A COMCEL S A;436319393000;232481296000;203838097000;0;0
2012;2;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;36562500;0;36562500;0;0
2012;2;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;193048664000;164042322000;29006342000;0;0
2012;2;2;900367669;UFF MOVIL SAS;1170038519;0;1170038519;0;0
2012;2;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;37149590;0;37149590;0;0
2012;2;3;830016046;AVANTEL S.A.S;7964224000;7667957000;296267000;0;0
2012;2;3;830114921;COLOMBIA MOVIL  S.A ESP;57025411050;30500446570;26524964490;0;0
2012;2;3;800153993;COMUNICACION CELULAR S A COMCEL S A;434376205000;232142092000;202234113000;0;0
2012;2;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;24490357;0;24490357;0;0
2012;2;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;189617165000;161109219000;28507946000;0;0
2012;2;3;900367669;UFF MOVIL SAS;1062975224;0;1062975224;0;0
2012;2;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;58442910;0;58442910;0;0
2012;3;1;830016046;AVANTEL S.A.S;8296118360;7798095249;498023111;0;0
2012;3;1;830114921;COLOMBIA MOVIL  S.A ESP;54691542110;27541840420;27149701700;0;0
2012;3;1;800153993;COMUNICACION CELULAR S A COMCEL S A;446615987000;236486385000;210129601000;0;0
2012;3;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;65219632;0;65219632;0;0
2012;3;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;161615878000;133475519000;28140360000;0;0
2012;3;1;900367669;UFF MOVIL SAS;1134308461;0;1134308461;0;0
2012;3;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;39166550;0;39166550;0;0
2012;3;2;830016046;AVANTEL S.A.S;8158188921;7776529196;381659725;0;0
2012;3;2;830114921;COLOMBIA MOVIL  S.A ESP;55051186920;28592259450;26458927470;0;0
2012;3;2;800153993;COMUNICACION CELULAR S A COMCEL S A;437846484000;230938733000;206907751000;0;0
2012;3;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;79884440;0;79884440;0;0
2012;3;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;160605595000;134265363000;26340233000;0;0
2012;3;2;900367669;UFF MOVIL SAS;1325069832;0;1325069832;0;0
2012;3;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;71593120;0;71593120;0;0
2012;3;3;830016046;AVANTEL S.A.S;7767734339;7471400976;296333363;0;0
2012;3;3;830114921;COLOMBIA MOVIL  S.A ESP;56440639030;30990486830;25450152200;0;0
2012;3;3;800153993;COMUNICACION CELULAR S A COMCEL S A;427993555000;225553878000;202439677000;0;0
2012;3;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;50534494;0;50534494;0;0
2012;3;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;159230427000;132404963000;26825464000;0;0
2012;3;3;900367669;UFF MOVIL SAS;1199546717;0;1199546717;0;0
2012;3;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;59120800;0;59120800;0;0
2012;4;1;830016046;AVANTEL S.A.S;8411267000;8082428000;328839000;0;0
2012;4;1;830114921;COLOMBIA MOVIL  S.A ESP;56542513510;29495927030;27046586480;0;0
2012;4;1;800153993;COMUNICACION CELULAR S A COMCEL S A;437995579000;226657365000;211338213000;0;0
2012;4;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;57444520;0;57444520;0;0
2012;4;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;160243397000;133050713000;27192684000;0;0
2012;4;1;900367669;UFF MOVIL SAS;1261700322;0;1261700322;0;0
2012;4;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;40001620;0;40001620;0;0
2012;4;2;830016046;AVANTEL S.A.S;8232870000;7925618000;307252000;0;0
2012;4;2;830114921;COLOMBIA MOVIL  S.A ESP;56888000080;30130719870;26757280220;0;0
2012;4;2;800153993;COMUNICACION CELULAR S A COMCEL S A;432015634000;224156797000;207858837000;0;0
2012;4;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;64525681;0;64525681;0;0
2012;4;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;164438062000;137800465000;26637598000;0;0
2012;4;2;900367669;UFF MOVIL SAS;1259631466;0;1259631466;0;0
2012;4;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;61102960;0;61102960;0;0
2012;4;3;830016046;AVANTEL S.A.S;8217937000;7912041000;305896000;0;0
2012;4;3;830114921;COLOMBIA MOVIL  S.A ESP;65196487510;34775011000;30421476520;0;0
2012;4;3;800153993;COMUNICACION CELULAR S A COMCEL S A;469485280000;223826630000;245658650000;0;0
2012;4;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;64690179;0;64690179;0;0
2012;4;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;169992530000;138073209000;31919321000;0;0
2012;4;3;900367669;UFF MOVIL SAS;1491271550;0;1491271550;0;0
2012;4;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;94918520;0;94918520;0;0
2013;1;1;830016046;AVANTEL S.A.S;8464127000;8222697000;241430000;0;0
2013;1;1;830114921;COLOMBIA MOVIL  S.A ESP;59062646000;30603657000;28458989000;0;0
2013;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;121003704000;101414956000;19588748000;0;0
2013;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;444988089000;223415790000;221572299000;0;0
2013;1;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;79038000;0;79038000;0;0
2013;1;1;900367669;UFF MOVIL SAS;1407243000;0;1407243000;0;0
2013;1;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;57455520;0;57455520;0;0
2013;1;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;0;0;0;0;0
2013;1;2;830016046;AVANTEL S.A.S;8706391000;8342883000;363508000;0;0
2013;1;2;830114921;COLOMBIA MOVIL  S.A ESP;55352165000;30383151000;24969014000;0;0
2013;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;117674935000;101015213000;16659722000;0;0
2013;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;416306261000;227998476000;188307785000;0;0
2013;1;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;61866000;0;61866000;0;0
2013;1;2;900367669;UFF MOVIL SAS;1272773000;0;1272773000;0;0
2013;1;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;54858690;0;54858690;0;0
2013;1;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;578;0;578;0;0
2013;1;3;830016046;AVANTEL S.A.S;8707330000;8276766000;430564000;0;0
2013;1;3;830114921;COLOMBIA MOVIL  S.A ESP;57018057000;29783458000;27234599000;0;0
2013;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;117516557000;100660271000;16856286000;0;0
2013;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;439468631000;227721365000;211747266000;0;0
2013;1;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;60130000;0;60130000;0;0
2013;1;3;900367669;UFF MOVIL SAS;1329371000;0;1329371000;0;0
2013;1;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;57302140;0;57302140;0;0
2013;1;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;10719000;0;10719000;0;0
2013;2;1;830016046;AVANTEL S.A.S;8857576000;8445325000;412251000;0;0
2013;2;1;830114921;COLOMBIA MOVIL  S.A ESP;59585187000;31248061000;28337126000;0;0
2013;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;117310033000;98568100000;18741933000;0;0
2013;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;443735326000;225309577000;218425749000;0;0
2013;2;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;63522000;0;63522000;0;0
2013;2;1;900367669;UFF MOVIL SAS;1371425000;0;1371425000;0;0
2013;2;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;57961950;0;57961950;0;0
2013;2;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;95206000;0;95206000;0;0
2013;2;2;830016046;AVANTEL S.A.S;9026842000;8585675000;441167000;0;0
2013;2;2;830114921;COLOMBIA MOVIL  S.A ESP;61140166000;32343257000;28796909000;0;0
2013;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;119119601000;99196927000;19922674000;0;0
2013;2;2;800153993;COMUNICACION CELULAR S A COMCEL S A;442982382000;225450910000;217531472000;0;0
2013;2;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;67503000;0;67503000;0;0
2013;2;2;900367669;UFF MOVIL SAS;1343568000;0;1343568000;0;0
2013;2;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;56588190;0;56588190;0;0
2013;2;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;380605000;0;380605000;0;0
2013;2;3;830016046;AVANTEL S.A.S;8645080000;8250511000;394569000;0;0
2013;2;3;830114921;COLOMBIA MOVIL  S.A ESP;61008897000;32306753000;28702144000;0;0
2013;2;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;118735920000;99505772000;19230148000;0;0
2013;2;3;800153993;COMUNICACION CELULAR S A COMCEL S A;436973452000;226318522000;210654930000;0;0
2013;2;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;81888000;0;81888000;0;0
2013;2;3;900367669;UFF MOVIL SAS;1313899000;0;1313899000;0;0
2013;2;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;57670730;0;57670730;0;0
2013;2;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;1005556000;0;1005556000;0;0
2013;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;264380776;0;264380776;0;0
2013;3;1;830016046;AVANTEL S.A.S;8665838000;8229845000;435993000;0;0
2013;3;1;830114921;COLOMBIA MOVIL  S.A ESP;64120654000;38342214000;25778440000;0;0
2013;3;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;119695385000;103014491000;16680895000;0;0
2013;3;1;800153993;COMUNICACION CELULAR S A COMCEL S A;433263695000;224888509000;208375186000;0;0
2013;3;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;63824000;0;63824000;0;0
2013;3;1;900367669;UFF MOVIL SAS;1438293000;0;1438293000;0;0
2013;3;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;56992780;0;56992780;0;0
2013;3;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;1514018170;0;1514018170;0;0
2013;3;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;195177383;0;195177383;0;0
2013;3;2;830016046;AVANTEL S.A.S;8596555000;8204585000;391970000;0;0
2013;3;2;830114921;COLOMBIA MOVIL  S.A ESP;64927128000;35683557000;29243571000;0;0
2013;3;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;123032478000;105890063000;17142415000;0;0
2013;3;2;800153993;COMUNICACION CELULAR S A COMCEL S A;425727096000;220512506000;205214590000;0;0
2013;3;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;65836000;0;65836000;0;0
2013;3;2;900367669;UFF MOVIL SAS;1438172000;0;1438172000;0;0
2013;3;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;53811610;0;53811610;0;0
2013;3;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;1920457298;0;1920457298;0;0
2013;3;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;136885084;0;136885084;0;0
2013;3;3;830016046;AVANTEL S.A.S;8936560000;8531352000;405208000;0;0
2013;3;3;830114921;COLOMBIA MOVIL  S.A ESP;64409104000;35018193000;29390911000;0;0
2013;3;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;122601257000;105884932000;16716326000;0;0
2013;3;3;800153993;COMUNICACION CELULAR S A COMCEL S A;459928001000;221234987000;238693014000;0;0
2013;3;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;63607000;0;63607000;0;0
2013;3;3;900367669;UFF MOVIL SAS;1387452000;0;1387452000;0;0
2013;3;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;48811780;0;48811780;0;0
2013;3;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;3013481416;0;3013481416;0;0
2013;4;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;170105430;0;170105430;0;0
2013;4;1;830016046;AVANTEL S.A.S;8904868000;8563614000;341254000;0;0
2013;4;1;830114921;COLOMBIA MOVIL  S.A ESP;66790211500;36562721920;30227489580;0;0
2013;4;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;123484415000;106206363000;17278052000;0;0
2013;4;1;800153993;COMUNICACION CELULAR S A COMCEL S A;433263695000;224888509000;208375186000;0;0
2013;4;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;58099000;0;58099000;0;0
2013;4;1;900367669;UFF MOVIL SAS;1459281000;0;1459281000;0;0
2013;4;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;48998300;0;48998300;0;0
2013;4;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;3753315841;0;3753315841;0;0
2013;4;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;177445630;0;177445630;0;0
2013;4;2;830016046;AVANTEL S.A.S;9043245000;8708518000;334727000;0;0
2013;4;2;830114921;COLOMBIA MOVIL  S.A ESP;67982307990;37856598160;30125709830;0;0
2013;4;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;126406373000;109142010000;17264363000;0;0
2013;4;2;800153993;COMUNICACION CELULAR S A COMCEL S A;425727096000;220512506000;205214590000;0;0
2013;4;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;2420000;0;2420000;0;0
2013;4;2;900367669;UFF MOVIL SAS;1423704000;0;1423704000;0;0
2013;4;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;47706990;0;47706990;0;0
2013;4;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;4559213080;0;4559213080;0;0
2013;4;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;252727590;0;252727590;0;0
2013;4;3;830016046;AVANTEL S.A.S;9797425000;9445662000;351763000;0;0
2013;4;3;830114921;COLOMBIA MOVIL  S.A ESP;79909103310;41613686810;38295416500;0;0
2013;4;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;129916394000;109151010000;20765383000;0;0
2013;4;3;800153993;COMUNICACION CELULAR S A COMCEL S A;459928001000;221234987000;238693014000;0;0
2013;4;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;114397000;0;114397000;0;0
2013;4;3;900367669;UFF MOVIL SAS;1714320000;0;1714320000;0;0
2013;4;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;55857480;0;55857480;0;0
2013;4;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;5992985574;0;5992985574;0;0
2014;1;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;233934410;0;233934410;0;0
2014;1;1;830016046;AVANTEL S.A.S;9074074000;8732762000;341312000;0;0
2014;1;1;830114921;COLOMBIA MOVIL  S.A ESP;72318438000;40581166000;31737272000;0;0
2014;1;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;125164843190;107145214820;18019628370;0;0
2014;1;1;800153993;COMUNICACION CELULAR S A COMCEL S A;439318979300;225223160160;214095819140;0;0
2014;1;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;65447000;0;65447000;0;0
2014;1;1;900367669;UFF MOVIL SAS;1424490000;0;1424490000;0;0
2014;1;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;46430950;0;46430950;0;0
2014;1;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;5180163000;0;5180163000;0;0
2014;1;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;230576810;0;230576810;0;0
2014;1;2;830016046;AVANTEL S.A.S;9718048000;9379192000;338856000;0;0
2014;1;2;830114921;COLOMBIA MOVIL  S.A ESP;69176888000;42141881000;27035007000;0;0
2014;1;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;121006402410;105137252630;15869149790;0;0
2014;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;412165725950;226007665930;186158060010;0;0
2014;1;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;52270000;0;52270000;0;0
2014;1;2;900367669;UFF MOVIL SAS;1232315000;0;1232315000;0;0
2014;1;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;38709690;0;38709690;0;0
2014;1;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;5429125000;0;5429125000;0;0
2014;1;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;304056310;0;304056310;0;0
2014;1;3;830016046;AVANTEL S.A.S;9860955000;9478847000;382108000;0;0
2014;1;3;830114921;COLOMBIA MOVIL  S.A ESP;74306292000;42294532000;32011760000;0;0
2014;1;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;119155764810;102328831510;16826933300;0;0
2014;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;426507077860;225911577180;200595500680;0;0
2014;1;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;48031000;0;48031000;0;0
2014;1;3;900367669;UFF MOVIL SAS;1271877000;0;1271877000;0;0
2014;1;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;41490350;0;41490350;0;0
2014;1;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;6633467000;0;6633467000;0;0
2014;2;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;312791460;0;312791460;0;0
2014;2;1;830016046;AVANTEL S.A.S;10005475000;9630700000;374775000;0;0
2014;2;1;830114921;COLOMBIA MOVIL  S.A ESP;72685977260;43385338970;29300638280;0;0
2014;2;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;116193854240;101366344800;14827509440;0;0
2014;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;417794841460;224112207520;193682633940;0;0
2014;2;1;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;48983000;0;48983000;0;0
2014;2;1;900367669;UFF MOVIL SAS;1255329000;0;1255329000;0;0
2014;2;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;39005650;0;39005650;0;0
2014;2;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;7185673000;0;7185673000;0;0
2014;2;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;324087230;0;324087230;0;0
2014;2;2;830016046;AVANTEL S.A.S;9965232000;9544595000;420637000;0;0
2014;2;2;830114921;COLOMBIA MOVIL  S.A ESP;74824340890;45263700830;29560640060;0;0
2014;2;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;117881414720;102191389900;15690024820;0;0
2014;2;2;800153993;COMUNICACION CELULAR S A COMCEL S A;419002817420;224202440880;194800376550;0;0
2014;2;2;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;35815000;0;35815000;0;0
2014;2;2;900367669;UFF MOVIL SAS;1266678000;0;1266678000;0;0
2014;2;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;39075650;0;39075650;0;0
2014;2;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;8469999000;0;8469999000;0;0
2014;2;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;317688100;0;317688100;0;0
2014;2;3;830016046;AVANTEL S.A.S;9979137000;9665742000;313395000;0;0
2014;2;3;830114921;COLOMBIA MOVIL  S.A ESP;70506721710;43923181390;26583540320;0;0
2014;2;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;116264390860;100573488780;15690902080;0;0
2014;2;3;800153993;COMUNICACION CELULAR S A COMCEL S A;391377007300;223660047990;167716959320;0;0
2014;2;3;899999115;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;6250000;0;6250000;0;0
2014;2;3;900367669;UFF MOVIL SAS;1227097000;0;1227097000;0;0
2014;2;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;35831900;0;35831900;0;0
2014;2;3;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;8655527000;0;8655527000;0;0
2014;3;1;900389508;ALMACENES EXITO INVERSIONES S.A.S.;367029760;0;367029760;0;0
2014;3;1;830016046;AVANTEL S.A.S;9668821000;9397077000;271744000;0;0
2014;3;1;830114921;COLOMBIA MOVIL  S.A ESP;74079818930;44376091504;29703727426;0;0
2014;3;1;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;113834861680;98427638440;15407223240;0;0
2014;3;1;800153993;COMUNICACION CELULAR S A COMCEL S A;405821298000;221063116000;184758182000;0;0
2014;3;1;900367669;UFF MOVIL SAS;1277749000;0;1277749000;0;0
2014;3;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;36599110;0;36599110;0;0
2014;3;1;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;9680891340;0;9680891340;0;0
2014;3;2;900389508;ALMACENES EXITO INVERSIONES S.A.S.;294511670;0;294511670;0;0
2014;3;2;830016046;AVANTEL S.A.S;9390213000;9114927000;275286000;0;0
2014;3;2;830114921;COLOMBIA MOVIL  S.A ESP;72747426240;44541141764;28026284476;0;0
2014;3;2;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;113024290580;98140153490;14884137090;0;0
2014;3;2;800153993;COMUNICACION CELULAR S A COMCEL S A;403891271000;217049346000;186841925000;0;0
2014;3;2;900367669;UFF MOVIL SAS;1266722000;0;1266722000;0;0
2014;3;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;33705840;0;33705840;0;0
2014;3;2;900420122;VIRGIN MOBILE COLOMBIA S.A.S.;10308267510;0;10308267510;0;0
2014;3;3;900389508;ALMACENES EXITO INVERSIONES S.A.S.;311028100;0;311028100;0;0
2014;3;3;830016046;AVANTEL S.A.S;9515589000;9129524000;386065000;0;0
2014;3;3;830114921;COLOMBIA MOVIL  S.A ESP;72626425002;40683997970;31942427032;0;0
2014;3;3;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;116015256890;102178355870;13836901020;0;0
2014;3;3;800153993;COMUNICACION CELULAR S A COMCEL S A;395877134000;216432622000;179444512000;0;0
2014;3;3;900367669;UFF MOVIL SAS;1255505000;0;1255505000;0;0
